daily_price,lead_time,adults,children,repeated_guest,total_book,pre_cancel,pre_not_cancel,arr_date,arr_week,week_nights,weekend_nights,meal_plan,parking,special_req,canceled
114.3,127,2,0,0,0,0,0,2018-07-10,28,0,2,BB,0,1,0
111.78,104,2,0,0,0,0,0,2016-05-04,18,4,0,BB,0,0,1
79.5,96,2,0,0,0,0,0,2015-09-21,39,5,2,BB,1,1,0
122.08,86,2,1,0,0,0,0,2017-04-23,16,4,2,BB,0,2,0
251.5,7,2,2,0,0,0,0,2016-09-25,38,5,3,BB,0,0,1
154.0,31,3,0,0,0,0,0,2018-11-27,48,0,2,BB,0,1,0
136.0,8,2,0,0,0,0,0,2017-10-18,42,2,2,BB,0,2,0
170.0,67,2,0,0,0,0,0,2017-06-06,23,3,0,BB,0,0,1
90.0,5,2,0,0,0,0,0,2017-05-09,19,1,0,BB,0,0,1
62.0,323,2,0,0,1,1,0,2015-09-05,36,1,1,BB,0,0,1
51.4,510,1,0,0,0,0,0,2016-12-01,48,1,0,BB,0,0,1
43.0,1,1,0,0,0,0,0,2017-01-25,4,1,0,BB,0,1,0
148.0,170,3,0,0,0,0,0,2016-08-06,31,5,2,BB,1,2,0
106.25,195,2,0,0,0,0,0,2016-12-01,48,3,1,HB,0,2,0
118.0,18,3,0,0,0,0,0,2016-01-15,2,2,0,BB,0,2,0
85.0,25,2,0,0,0,0,0,2018-10-08,41,1,2,BB,0,0,0
46.1,115,1,0,0,0,0,0,2016-04-28,17,3,0,BB,0,1,0
70.0,44,2,0,0,0,0,0,2015-12-05,49,1,2,BB,0,0,1
87.48,34,2,0,0,0,0,0,2016-10-31,44,4,1,HB,0,0,0
151.06,204,3,0,0,0,0,0,2017-07-16,28,5,2,BB,0,1,0
63.0,1,2,0,0,0,0,0,2016-11-26,47,1,0,BB,0,0,0
124.0,7,2,0,0,0,0,0,2018-12-09,49,2,0,BB,0,1,0
122.4,396,2,0,0,0,0,0,2017-06-25,25,0,2,HB,0,1,0
75.0,95,1,0,0,0,0,0,2016-11-05,44,1,0,BB,0,0,1
115.0,120,1,0,0,0,0,0,2016-09-02,35,2,1,BB,0,0,1
90.0,34,1,0,0,1,1,0,2015-12-08,50,2,0,BB,0,0,1
158.0,5,1,0,0,0,0,0,2015-10-03,40,1,1,BB,0,0,0
40.0,40,1,0,0,0,0,0,2015-11-11,46,4,0,BB,0,0,1
88.0,6,1,0,0,0,0,0,2016-12-12,50,0,1,SC,0,1,1
134.0,138,2,0,0,0,0,0,2016-07-02,26,6,4,BB,0,0,1
140.0,59,2,0,0,0,0,0,2017-05-29,22,0,1,BB,0,0,1
97.0,28,2,0,0,0,0,0,2015-09-10,37,2,0,BB,0,0,0
139.95,106,3,0,0,0,0,0,2018-07-11,28,3,1,BB,0,2,0
81.6,24,2,0,0,0,0,0,2016-04-06,14,4,1,BB,0,0,0
41.6,23,1,0,0,0,0,0,2016-04-06,14,3,0,BB,0,0,0
75.0,105,2,0,0,0,0,0,2016-04-06,14,1,0,BB,0,0,1
39.0,33,1,0,0,0,0,0,2016-01-28,4,3,0,BB,0,0,1
95.79,142,0,2,0,0,0,0,2016-08-21,33,3,2,BB,0,1,0
110.0,12,1,0,1,5,0,5,2018-10-24,43,2,1,BB,0,0,0
115.0,162,1,0,0,0,0,0,2016-10-14,41,2,2,BB,0,0,1
148.95,37,3,0,0,0,0,0,2016-04-27,17,4,0,BB,0,0,1
85.16,137,2,0,0,0,0,0,2018-11-28,48,4,1,BB,0,1,1
145.0,0,2,0,0,0,0,0,2016-10-21,42,2,0,BB,0,0,1
95.0,16,1,0,0,0,0,0,2018-10-02,40,1,2,BB,0,0,0
88.01,153,2,0,0,0,0,0,2016-05-02,18,2,1,BB,0,0,0
100.0,116,2,0,0,0,0,0,2017-03-24,12,2,0,BB,0,1,0
104.0,122,1,0,0,0,0,0,2017-05-27,21,1,1,BB,0,0,0
86.0,221,2,0,0,1,1,0,2015-10-03,40,1,2,HB,0,0,1
37.8,95,2,0,0,0,0,0,2017-01-08,1,0,1,BB,0,1,0
118.2,14,2,0,0,0,0,0,2017-06-28,26,1,0,BB,0,0,1
91.8,16,2,0,0,0,0,0,2018-12-29,52,3,1,RO,0,0,0
198.3,79,3,0,0,0,0,0,2016-08-18,33,3,0,BB,0,1,0
66.0,0,1,0,1,2,0,2,2016-01-19,3,3,0,BB,0,0,0
80.75,75,2,0,0,0,0,0,2018-09-17,38,1,1,BB,0,0,0
93.6,278,2,0,0,0,0,0,2017-06-11,23,0,1,BB,0,0,1
135.9,42,2,0,0,0,0,0,2016-07-18,29,3,1,BB,1,1,0
70.0,1,1,0,0,0,0,0,2016-06-17,24,2,1,BB,0,0,0
80.0,75,2,0,0,0,0,0,2018-03-17,11,3,1,BB,0,0,1
102.0,3,2,0,0,0,0,0,2016-01-02,53,3,2,BB,1,1,0
131.0,0,2,0,0,0,0,0,2017-04-13,15,1,0,BB,0,0,0
126.0,36,2,1,0,0,0,0,2016-09-01,35,1,0,BB,0,1,1
72.25,93,2,0,0,0,0,0,2017-12-03,48,3,1,BB,0,2,0
130.0,350,1,0,0,0,0,0,2016-06-17,24,2,0,BB,0,0,1
128.0,16,1,0,0,0,0,0,2017-06-03,22,1,0,HB,0,0,1
204.0,46,2,2,0,0,0,0,2017-03-25,12,3,2,BB,0,0,1
79.8,34,0,2,0,0,0,0,2016-03-25,12,2,2,BB,0,2,0
90.0,175,1,0,0,0,0,0,2017-05-19,20,1,0,BB,0,0,1
95.0,192,1,0,0,0,0,0,2016-06-24,25,2,0,BB,0,0,0
131.4,59,1,0,0,0,0,0,2016-08-08,32,1,1,BB,0,1,0
65.0,105,1,0,1,5,1,4,2016-09-28,39,1,0,BB,0,0,0
106.8,43,2,0,0,0,0,0,2018-03-17,11,3,0,BB,0,0,0
140.0,51,2,0,0,0,0,0,2017-06-21,25,3,0,SC,0,1,1
123.8,141,2,0,0,0,0,0,2018-09-23,38,2,0,BB,0,1,0
250.0,0,3,0,0,0,0,0,2017-05-10,19,1,0,BB,0,1,1
75.0,35,2,0,0,0,0,0,2016-11-28,48,1,1,BB,0,0,1
55.83,288,2,0,0,0,0,0,2016-05-03,18,5,2,BB,0,0,0
129.25,12,2,1,0,0,0,0,2016-10-31,44,3,1,BB,0,2,1
100.0,14,1,0,0,0,0,0,2015-10-15,42,2,0,BB,0,0,0
91.0,4,2,0,0,0,0,0,2016-02-11,6,2,0,BB,0,1,0
62.0,20,2,0,0,0,0,0,2015-07-22,30,2,0,BB,0,0,0
107.0,10,2,0,0,0,0,0,2018-10-02,40,2,2,BB,0,0,1
75.0,0,2,0,0,0,0,0,2015-11-30,49,0,1,BB,0,0,0
101.5,257,2,0,0,1,1,0,2015-07-01,27,2,0,HB,0,0,1
107.1,199,2,0,0,0,0,0,2017-07-17,29,4,1,BB,0,1,1
193.33,24,2,0,0,0,0,0,2017-08-04,31,2,1,BB,0,1,1
148.5,6,3,0,0,0,0,0,2018-04-08,14,2,2,BB,0,0,1
153.03,36,2,1,0,0,0,0,2016-06-09,23,3,0,BB,1,1,0
0.0,0,2,0,1,0,0,0,2016-06-17,24,0,0,BB,0,0,0
35.0,7,1,0,0,0,0,0,2015-11-10,46,1,0,BB,1,0,0
172.0,0,2,0,0,0,0,0,2015-08-14,33,1,0,BB,0,2,0
99.0,263,2,0,0,0,0,0,2017-04-25,17,5,0,SC,0,1,1
178.0,20,1,0,0,0,0,0,2017-03-13,11,1,1,BB,0,0,0
175.23,104,3,0,0,0,0,0,2016-08-26,34,2,2,BB,0,1,0
202.33,8,2,0,0,0,0,0,2017-07-28,30,2,1,BB,0,1,0
128.0,220,1,0,0,0,0,0,2016-09-17,37,1,2,HB,0,0,0
48.0,12,2,0,0,0,0,0,2016-01-16,2,1,0,BB,0,2,0
126.0,72,2,0,0,0,0,0,2015-09-11,37,2,0,HB,0,0,0
62.0,37,2,0,0,0,0,0,2016-03-31,13,3,2,BB,0,0,1
62.0,29,2,0,0,0,0,0,2015-10-23,43,2,0,BB,1,1,0
116.1,125,2,0,0,0,0,0,2016-06-09,23,1,0,SC,0,0,0
70.0,180,2,0,0,0,0,0,2015-10-16,42,1,0,BB,0,0,1
126.9,128,2,0,0,0,0,0,2018-06-06,23,2,1,BB,0,1,0
140.0,26,2,1,0,0,0,0,2017-06-06,23,2,0,SC,0,2,0
119.97,70,2,0,0,0,0,0,2015-08-17,34,5,3,BB,0,1,0
126.0,125,2,0,0,0,0,0,2017-06-22,25,3,0,BB,0,0,0
257.75,15,3,0,0,0,0,0,2017-08-30,35,4,0,HB,1,3,0
98.8,44,2,0,0,0,0,0,2016-12-02,48,2,0,BB,0,0,1
185.0,64,2,0,0,0,0,0,2017-08-28,35,1,1,BB,0,1,0
94.5,96,2,0,0,0,0,0,2015-07-11,28,1,2,HB,0,0,1
125.1,51,2,0,0,0,0,0,2018-09-09,36,2,0,RO,0,1,0
65.0,443,2,0,0,0,0,0,2018-04-29,17,1,0,BB,0,0,1
116.8,222,2,0,0,0,0,0,2017-04-22,16,4,2,HB,1,1,0
65.0,422,2,0,0,0,0,0,2016-09-16,37,2,0,BB,0,0,1
115.0,386,2,0,0,0,0,0,2016-10-23,42,0,2,HB,0,1,0
140.4,53,1,0,0,0,0,0,2018-06-17,24,2,0,BB,0,0,1
75.0,109,2,0,0,1,1,0,2016-02-21,7,1,2,BB,0,0,1
160.0,164,1,0,0,0,0,0,2017-05-15,20,2,1,BB,0,0,1
159.0,1,2,1,0,0,0,0,2016-05-02,18,0,1,BB,0,2,0
115.0,256,2,0,0,0,0,0,2016-06-15,24,2,0,HB,0,1,0
208.0,12,2,0,0,0,0,0,2016-03-24,12,3,1,HB,1,1,0
118.8,139,2,0,0,0,0,0,2018-10-08,41,1,2,BB,0,0,1
85.5,142,2,0,0,0,0,0,2016-07-01,26,2,0,SC,0,1,0
0.0,63,2,0,0,0,0,0,2017-03-30,13,3,2,BB,0,1,0
65.0,0,1,0,0,0,0,0,2018-05-04,18,1,0,BB,0,0,0
75.0,74,2,0,0,0,0,0,2018-04-17,16,2,2,BB,0,0,0
85.5,27,2,0,0,0,0,0,2018-09-18,38,1,2,BB,0,0,0
67.0,7,2,0,0,0,0,0,2015-08-19,34,4,1,BB,0,0,0
8.43,194,2,0,0,0,0,0,2015-09-07,37,5,2,SC,0,2,0
94.0,12,1,0,0,0,0,0,2017-06-11,23,0,1,BB,0,0,0
79.2,63,2,0,0,0,0,0,2017-02-17,7,2,0,SC,0,2,1
98.1,173,2,0,0,0,0,0,2016-10-01,39,1,2,SC,0,1,0
64.67,67,2,0,0,0,0,0,2018-12-20,51,5,0,BB,0,1,0
115.0,213,2,0,0,0,0,0,2017-06-26,26,1,1,BB,0,0,1
60.0,359,2,0,0,1,1,0,2015-10-11,41,0,2,BB,0,0,1
62.0,351,2,0,0,0,0,0,2016-06-23,25,2,0,BB,0,0,1
86.0,82,2,0,1,1,1,0,2016-02-07,5,0,2,BB,0,0,1
80.0,58,1,0,0,0,0,0,2018-01-27,4,3,0,BB,0,0,0
9.0,70,0,3,0,0,0,0,2018-04-12,15,4,0,BB,0,1,0
116.45,68,3,0,0,0,0,0,2016-04-01,13,2,2,BB,0,2,1
125.1,56,2,1,0,0,0,0,2016-08-06,31,1,1,SC,0,1,0
90.0,11,2,0,0,0,0,0,2016-06-14,24,3,0,BB,0,0,1
92.28,47,2,0,0,0,0,0,2018-05-11,19,4,0,BB,0,1,0
35.0,5,1,0,0,3,0,3,2017-03-29,13,1,0,BB,1,0,0
95.0,41,1,0,1,1,0,1,2017-05-16,20,1,0,BB,0,0,0
0.5,37,1,0,0,0,0,0,2018-02-20,8,8,4,BB,0,0,0
92.95,8,2,0,0,0,0,0,2016-01-02,53,1,2,BB,0,1,0
107.95,166,2,0,0,0,0,0,2018-07-24,30,2,2,HB,0,0,1
89.1,31,2,0,0,0,0,0,2018-06-01,22,1,0,RO,0,0,1
210.6,21,3,0,0,0,0,0,2016-05-15,19,0,1,HB,0,0,1
144.0,159,2,0,0,0,0,0,2016-09-19,38,2,1,BB,0,0,0
110.7,216,2,0,0,0,0,0,2017-08-27,34,5,2,BB,0,0,1
85.5,0,2,1,0,0,0,0,2016-10-21,42,2,0,BB,0,1,0
100.0,302,2,0,0,0,0,0,2018-09-16,37,2,1,BB,0,0,1
99.0,227,2,0,0,0,0,0,2017-04-14,15,2,1,SC,0,1,1
75.0,134,1,0,0,0,0,0,2017-02-25,8,1,0,BB,0,0,1
100.0,129,2,0,0,0,0,0,2017-04-03,14,1,1,BB,0,0,1
95.5,423,1,0,0,0,0,0,2017-07-22,29,1,1,HB,0,0,0
101.0,2,2,0,0,0,0,0,2018-04-07,14,1,0,BB,0,1,0
62.8,314,2,0,1,1,1,0,2015-08-27,35,2,0,BB,0,0,1
25.0,1,1,0,0,0,0,0,2015-12-03,49,1,0,BB,0,0,0
148.58,252,2,2,0,0,0,0,2018-12-28,52,9,2,BB,0,2,1
171.0,156,2,0,0,0,0,0,2017-07-16,28,10,5,HB,0,0,0
58.0,1,1,0,0,1,0,1,2016-09-16,37,1,0,BB,0,0,0
112.0,4,1,0,0,0,0,0,2017-04-08,14,1,1,SC,0,1,0
52.56,18,2,0,0,0,0,0,2017-01-27,4,2,1,BB,0,0,0
98.0,72,2,2,0,0,0,0,2016-02-14,6,2,2,BB,0,0,1
106.2,110,2,0,0,0,0,0,2017-03-18,11,1,1,BB,0,2,1
181.7,82,3,1,0,0,0,0,2018-07-09,28,1,0,BB,0,1,0
72.25,175,2,0,0,0,0,0,2016-08-03,31,9,3,BB,0,0,0
130.0,26,1,0,0,0,0,0,2017-05-17,20,2,0,BB,0,1,0
153.57,204,2,0,0,0,0,0,2017-08-29,35,10,4,BB,0,3,0
186.0,96,2,0,0,0,0,0,2015-08-03,32,5,2,HB,0,0,0
46.0,3,2,0,0,0,0,0,2016-03-21,12,2,1,BB,0,0,0
120.0,56,2,0,0,0,0,0,2016-06-08,23,1,0,BB,0,0,1
82.45,59,2,0,0,0,0,0,2018-03-13,11,2,2,BB,0,0,1
4.0,0,1,0,1,0,0,0,2017-01-25,4,1,0,BB,0,0,0
48.0,383,2,0,0,0,0,0,2016-10-06,40,3,1,BB,0,0,1
180.0,27,2,0,0,0,0,0,2017-07-14,28,2,0,BB,0,2,0
189.0,210,3,0,0,0,0,0,2017-08-31,35,5,2,HB,0,0,1
80.75,77,2,0,0,0,0,0,2016-04-08,14,2,2,BB,0,2,0
126.9,155,2,0,0,0,0,0,2018-09-02,35,2,1,BB,0,1,1
90.0,8,2,0,0,0,0,0,2017-08-27,34,1,0,BB,0,1,0
161.33,38,2,0,0,0,0,0,2018-10-19,42,3,0,BB,0,1,1
55.8,252,2,0,0,0,0,0,2016-12-22,51,3,2,BB,0,0,1
114.0,35,1,0,0,0,0,0,2017-07-10,28,2,1,SC,0,0,1
104.55,132,3,0,0,0,0,0,2016-03-21,12,5,2,BB,0,1,0
80.14,113,1,0,0,0,0,0,2018-05-10,19,5,2,BB,0,0,1
88.2,157,2,0,0,0,0,0,2016-01-29,4,5,2,HB,0,1,1
62.0,323,2,0,0,1,1,0,2015-09-05,36,2,2,BB,0,0,1
95.0,267,2,0,0,0,0,0,2016-09-30,39,2,1,BB,0,0,1
52.43,229,2,0,0,0,0,0,2017-03-27,13,5,2,BB,0,2,0
65.7,0,1,0,1,0,0,0,2016-01-29,4,1,0,SC,0,0,0
110.0,17,1,0,0,1,1,0,2015-10-03,40,2,2,BB,0,0,1
50.0,86,2,0,0,1,1,0,2016-02-12,6,2,0,HB,0,0,1
107.1,46,2,0,0,0,0,0,2018-06-28,26,2,0,RO,0,0,1
80.0,0,1,0,0,0,0,0,2016-02-19,7,1,0,BB,0,0,0
85.0,92,2,0,0,0,0,0,2017-03-15,11,3,0,BB,0,0,1
63.36,54,2,0,0,0,0,0,2016-04-16,15,4,2,BB,0,0,0
88.0,1,1,0,0,0,0,0,2017-03-02,9,1,0,SC,0,0,0
149.0,1,2,0,0,0,0,0,2016-07-22,29,1,0,BB,0,1,0
88.4,70,2,0,0,0,0,0,2017-02-12,6,2,2,BB,0,1,1
100.0,277,2,0,0,0,0,0,2016-11-07,45,2,1,BB,0,0,1
123.83,96,1,1,0,0,0,0,2017-07-07,27,2,1,SC,0,1,0
130.0,2,2,0,0,0,0,0,2016-10-27,43,2,0,SC,0,3,0
140.4,56,2,0,0,0,0,0,2018-05-13,19,2,0,BB,0,1,0
79.2,53,2,0,0,0,0,0,2018-12-16,50,2,1,RO,0,1,0
72.0,388,2,0,0,0,0,0,2017-05-25,21,3,0,BB,0,1,0
59.0,281,1,0,0,0,0,0,2016-04-14,15,1,0,BB,0,0,1
114.0,40,2,0,0,0,0,0,2016-06-01,22,6,2,BB,0,0,1
27.0,6,1,0,0,3,0,3,2016-11-22,47,2,0,BB,0,0,0
92.94,113,2,0,0,0,0,0,2016-07-05,27,5,1,BB,0,2,0
77.78,243,2,0,0,0,0,0,2015-09-02,36,5,2,HB,0,0,0
75.0,68,2,0,0,1,1,0,2016-02-17,7,2,0,BB,0,0,1
110.18,13,1,0,0,0,0,0,2017-03-19,11,0,2,BB,0,0,0
109.0,29,2,0,0,0,0,0,2018-05-29,22,0,1,RO,0,2,0
91.8,21,2,0,0,0,0,0,2017-02-26,8,2,2,BB,0,0,1
90.0,11,2,0,0,0,0,0,2015-08-24,35,0,1,BB,0,1,0
80.75,169,2,0,0,0,0,0,2016-09-09,36,2,0,BB,0,0,0
65.0,3,1,0,1,1,0,1,2018-07-11,28,0,1,BB,0,0,0
87.0,542,2,0,0,0,0,0,2016-09-26,39,5,2,HB,0,3,0
388.0,53,3,1,0,0,0,0,2017-08-14,33,2,1,HB,0,0,1
120.0,111,1,0,0,0,0,0,2016-10-10,41,0,1,BB,0,0,1
114.0,0,1,0,0,0,0,0,2017-08-10,32,3,1,BB,0,0,0
80.1,61,2,0,0,0,0,0,2015-09-29,40,10,2,HB,0,2,0
110.79,145,2,0,0,0,0,0,2016-07-18,29,5,1,BB,0,0,0
225.0,90,3,0,0,0,0,0,2017-07-22,29,5,2,BB,0,2,0
90.0,75,2,0,0,0,0,0,2016-04-17,15,0,2,SC,0,0,0
75.0,46,2,0,0,0,0,0,2016-03-29,13,5,0,BB,0,1,0
164.0,117,2,0,0,0,0,0,2017-08-12,32,1,1,BB,0,1,0
130.0,184,2,0,0,0,0,0,2017-05-28,21,3,2,BB,0,0,1
48.0,0,2,0,0,0,0,0,2017-02-11,6,1,0,BB,0,2,0
141.0,27,2,0,0,0,0,0,2016-05-10,19,3,0,BB,0,0,1
75.51,4,2,0,0,0,0,0,2016-11-26,47,2,2,BB,0,0,0
146.7,119,3,0,0,0,0,0,2018-06-29,26,2,0,BB,0,2,0
90.95,185,2,0,0,0,0,0,2018-07-18,29,5,2,BB,0,0,1
81.08,58,2,0,0,0,0,0,2016-04-24,16,1,2,BB,0,0,0
50.0,0,1,0,1,5,0,5,2016-11-23,47,4,0,BB,0,2,0
92.4,4,1,0,0,0,0,0,2015-10-11,41,3,2,BB,0,0,0
95.0,192,2,0,0,0,0,0,2016-10-21,42,2,0,BB,0,0,0
90.0,3,1,0,0,0,0,0,2015-11-01,44,1,2,BB,0,0,0
37.0,163,1,0,0,0,0,0,2017-02-28,9,5,0,BB,0,0,0
80.0,52,1,0,0,0,0,0,2017-03-13,11,1,1,BB,0,0,1
59.0,372,1,0,0,0,0,0,2016-07-14,28,1,0,BB,0,0,1
160.0,24,2,0,0,0,0,0,2017-05-29,22,3,1,BB,0,2,1
115.0,0,2,0,0,0,0,0,2015-08-10,33,0,1,BB,0,1,0
75.2,7,1,0,0,0,0,0,2016-11-24,47,1,0,BB,0,0,0
78.6,143,3,0,0,0,0,0,2015-07-09,28,3,1,BB,0,2,0
